年份,首播日期,頻道,集數,劇名,主演
2022年,12月17日,公視 friDay影音,2, 你的婚姻不是你的婚姻 － 恭請光臨曾賈府喜事 ,李淳 、 簡嫚書 、 吳子霏
2022年,12月24日,公視 friDay影音,2, 你的婚姻不是你的婚姻 － 梅莉 ,施名帥 、 夏于喬 、 楊鈞訸 、 黃品瑜
2022年,12月28日,LINE TV,20, HIStory5 - 遇見未來的你 ,陳璽安 、 徐韜 、 王肇緯 、 張碩航
2023年,1月1日,華視 公視台語台,10, 再見之後 ,黃姵嘉 、 楊子儀 、 張耀仁 、 米可白 、 楊銘威 、 苗可麗 、 伊正 、 應采靈 、 章家瑄 、 吳沛寧
2023年,1月4日,Disney+,3, 台灣犯罪故事－出軌 ,鳳小岳 、 林予晞 、 薛仕凌 、 施柏宇
2023年,1月7日,公視 friDay影音,2, 你的婚姻不是你的婚姻 － 沙之書 ,温貞菱 、 林予晞 、 瑞瑪·席丹
2023年,1月11日,Disney+,3, 台灣犯罪故事－生死困局 ,王柏傑 、 李銘忠 、 陳家逵 、 林敬倫
2023年,1月14日,公視,30, 牛車來去 ,安心亞 、 楊烈 、 蔡昌憲 、 米可白 、 楊子儀 、 游安順
2023年,1月18日,Disney+,3, 台灣犯罪故事－惡有引力 ,陳以文 、 宋芸樺 、 范睿修 、 曾華宣
2023年,1月25日,Disney+,3, 台灣犯罪故事－黑潮之下 ,傅孟柏 、 李霈瑜 、 蔡凡熙 、 高英軒
2023年,2月6日,TVBS歡樂台 台視,37, 加油喜事－加油愛情 ,陳亞蘭 、 王彩樺 、 洪都拉斯 、 李興文 、 劉秀雯 、 周曉涵 、 周孝安 、 鄒承恩 、 楊晴 、 臧芮軒 、 劉育仁 、 馬國賢 、 李承鴻 、 潘映竹 、 范巧宣
2023年,3月12日,華視 公視台語台,10, 婚姻結業式2 ,謝祖武 、 張本渝 、 郁方 、 梁赫群 、 何如芸 、 馬力歐 、 田中千繪 、 邱凱偉 、 張天霖 、 茵芙 、 許乃涵 、 王以路
2023年,3月18日,公視,7, 國際橋牌社外傳：和平歸來 ,柯宇綸 、 鍾瑤 、 張詩盈 、 王彩樺 、 黃新皓 、 黃柏文 、 唐宛彤 、 白靜宜 、 藍丞晞 、 范宸菲 、 馬力歐
2023年,3月29日,TVBS歡樂台 台視,36, 加油喜事－守住愛情 ,陳亞蘭 、 王彩樺 、 洪都拉斯 、 李興文 、 劉秀雯 、 周曉涵 、 周孝安 、 鄒承恩 、 楊晴 、 臧芮軒 、 劉育仁 、 馬國賢 、 李承鴻 、 潘映竹 、 范巧宣
2023年,3月31日,Netflix,10, 模仿犯 ,吳慷仁 、 江宜蓉 、 姚淳耀 、 柯佳嬿 、 庹宗華 、 范少勳 、 夏騰宏 、 林心如
2023年,4月12日,客家電視台,10, 暗夜微光 ,梁修身 、 巫宗翰 、 梁正群 、 楊富江 、 朱陸豪 、 方大緯 、 吳奕蓉 、 張馨比 、 蔡亘晏 、 姜予 、 林育品 、 福地祐介 、 吳政迪 、 安代梅芳 、 陳廷軒
2023年,4月15日,愛奇藝國際站 八大戲劇台,12, 不良執念清除師 ,曾敬驊 、 宋芸樺 、 彭千祐 、 楊謹華 、 馬力歐 、 侯彥西 、 孫情 、 竇智孔 、 王滿嬌 、 呂雪鳳
2023年,4月21日 4月29日,三立都會台 TVBS歡樂台,9, 親愛壞蛋 ,隋棠 、 溫昇豪 、 六月 、 修杰楷 、 劉瑞琪 、 曾莞婷 、 林暉閔 、 項婕如 、 禾浩辰 、 謝雨芝 、 林敬倫
2023年,4月28日,Netflix,8, 人選之人-造浪者 ,謝盈萱 、 王淨 、 黃健瑋 、 戴立忍 、 陳姸霏 、 潘綱大 、 胡瑋杰 、 詹懷雲 、 廖怡裬 、 潘慧如 、 卜學亮
2023年,4月29日 4月30日,公視 八大戲劇台,10, 最佳利益2－決戰利益 ,天心 、 禾浩辰 、 溫昇豪 、 邱凱偉 、 楊銘威
2023年,5月14日,華視 公視台語台,10, 欺妻49天 ,藍葦華 、 林玟誼 、 楊小黎 、 廖苡喬 、 葉家妤 、 陳子強 、 向娃 、 翁家明 、 孫情 、 元六 、 方駿 、 吳政迪 、 莊岳 、 楊迦恩
2023年,5月24日,TVBS歡樂台 台視,35, 加油喜事－相信愛情 ,陳亞蘭 、 王彩樺 、 洪都拉斯 、 李興文 、 劉秀雯 、 周曉涵 、 周孝安 、 鄒承恩 、 楊晴 、 臧芮軒 、 劉育仁 、 馬國賢 、 李承鴻 、 潘映竹 、 范巧宣
2023年,5月29日,大愛電視台,22, 早點回家 ,方宥心 、 楊子儀 、 范宸菲 、 陳婉婷 、 藍葦華 、 林雨宣 、 楊麗音 、 談學斌
2023年,6月3日 6月4日,公視 八大戲劇台,10, 最佳利益3－最終利益 ,天心 、 禾浩辰 、 溫昇豪 、 邱凱偉 、 楊銘威
2023年,6月11日,東森戲劇台 TVBS歡樂台,24, W劇場：因為你如此耀眼 ,范少勳 、 郭雪芙 、 鍾承翰 、 蔡黃汝 、 卜學亮 、 張玉嬿 、 唐振剛 、 袁子芸 、 蘇達 、 柯淑勤 、 傅雷 、 葛蕾 、 謝其文 、 邱木翰 、 林煒 、 林孫煜豪
2023年,6月19日,三立都會台 華視主頻,40, 鬼之執行長 ,張立昂 、 劉奕兒 、 孫沁岳 、 姚以緹 、 劉修甫 、 賴琳恩 、 沈孟生 、 顏嘉樂 、 鮑正芳 、 陳榕姍
2023年,6月19日 6月24日,LINE TV TVBS歡樂台,20, 機智職場生活 ,高山峰 、 鍾岳軒 、 鄭豐毅 、 陳彥廷 、 王新凱 、 黃柏峰 、 商鈞 、 李星鏴 、 孔令元 、 鄭芯恩 、 馮容潔 、 賴雅琪 、 楊翹碩 、 王敏淳 、 吳玳慈 、  山豬 、 逸祥 、 紀欣伶 、 王碩瀚 、 熊少彤 、 林茉晶
2023年,7月2日 7月16日,公視 八大戲劇台,8, 八尺門的辯護人 ,李銘順 、 雷嘉汭 、 初孟軒 、 范逸臣 、 潘儀君 、 楊烈 、 黃健瑋 、 蘇達 、 陸夏 、 洪毓璟
2023年,7月7日,Vidol,10, 免疫屏蔽 ,楊懿軒 、 洪暐哲 、 鄭靚歆 、 夏宇禾 、 廖偉博 、 張凱翔 、 許博維
2023年,7月8日 7月14日,公視 三立都會台,20, 地獄里長 ,林哲熹 、 嚴正嵐 、 楊傑宇 、 鄭人碩 、 盛平 、 陳大天 、 鄭怡 、 陳昊森 、 王彩樺 、 李沐 、 邵奕玫 、 林暉閔 、 蔡瑞雪 、 許傑輝 、 龍劭華
2023年,8月1日,中視 衛視中文台,60, 女兒大人加個賴 ,柯叔元 、 陳妤 、 黃薇渟 、 侯彥西 、 管麟 、 王宇婕 、 鄭仲茵 、 陳敬宣 、 徐愷伶 、 林孫煜豪 、 李迪恩 、 洛可杉 、 庹宗華 、 沈威年 、 郭怡伶 、 賴雅琪
2023年,8月12日,LINE TV LiTV 線上影視 愛奇藝國際站,20, 慾望七人行 ,許習德 、 張香香 、 董仔 、 康茵茵 、 古承頤 、 黃琳媛 、 奎丁
2023年,8月20日,MyVideo 八大戲劇台,7, 百味小廚神－中元大餐 ,阮柏皓 、 藍正龍 、 夏靖庭 、 江宜蓉 、 黃冠智 、 林奕嵐 、 林澤凱 、 郭葦昀 、 何思靜 、 徐麗雯 、 黃品瑜
2023年,8月22日,八大電視的官方YouTube GagaOOLala,13, 奇蹟  ,徐愷 、 林毓桐 、 姜典 、 陳柏文 、 宋偉恩 、 葉恩 、 羅奕傑 、 謝承均 、 亮哲 、 楊烈
2023年,9月3日,東森戲劇台 TVBS歡樂台,24, W劇場：沒有你依然燦爛 ,孫可芳 、 簡嫚書 、 賴雅妍 、 鍾瑤 、 紀培慧 、 林子閎 、 邱凱偉 、 陳璽安 、 庹宗華 、 邱勝翊 、 游安順 、 李芳雯 、 顏嘉樂 、 星卉 、 郎祖筠 、 陳詩穎
2023年,9月3日,MyVideo 八大戲劇台,8, 百味小廚神－午餐爭霸戰 ,阮柏皓 、 藍正龍 、 黃品瑜 、 蔡安妍 、 張城熙 、 胡婷 、 于子育 、 郭子乾 、 林奕嵐 、 林澤凱 、 郭葦昀
2023年,9月15日,Vidol,10, 絕對佔領 ,毛祁生 、 蕭鴻 、 孫沁岳 、 洪詩 、 林巧媛 、 小凱 、 可伊 、 婕芯
2023年,9月17日 9月23日,八大戲劇台 華視 TVBS歡樂台,12, 有生之年 ,吳慷仁 、 張榕容 、 鄭元暢 、 林哲熹 、 楊貴媚 、 喜翔 、 孫可芳 、 方志友 、 謝展榮 、 黃姵嘉
2023年,9月28日,friDay影音 Hami Video,6, 火星上的維納斯 ,邵雨薇 、 曹佑寧 、 羅宏正 、 劉亮佐 、 黃靖倫 、 李玉璽 、 林利霏 、 草爺
2023年,10月11日,東森超視 華視,60, 阿叔,王識賢 、 韓瑜 、 張睿家 、 林玟誼 、 柏妍樺 、 伊正 、 王彩樺 、 黃西田 、 民雄 、 謝其文 、 巴鈺 、 黃新皓 、 張再興 、 安乙蕎 、 廖錦德 、 許瓊月 、 李之勤
2023年,10月24日,中視,40, 開創者 ,李國毅 、 蔡淑臻 、 安心亞 、 溫昇豪 、 吳婉君 、 陳奕 、 林在培 、 張瓊姿 、 江宏恩 、 張天霖 、 劉心語
2023年,11月3日 11月5日,三立都會台 華視,12, 美食無間 ,傅孟柏 、 王柏傑 、 簡嫚書 、 柯叔元 、 夏靖庭 、 黃尚禾 、 陽靚 、 王可元 、 張耀仁 、 陳家逵 、 張再興
2023年,11月10日,Netflix,10, 此時此刻 ,王淨 、 朱軒洋 、 楊銘威 、 張軒睿 、 林心如 、 林熙蕾 、 吳慷仁 、 徐熙娣 、 宋芸樺 、 林哲熹 、 林柏宏 、 黃路梓茵 、 賈靜雯 、 曾敬驊 、 曾國城 、 劉俊謙 、 郭雪芙 、 章廣辰 、 謝欣穎 、 劉品言 、 修杰楷 、 白靜宜 、 張耀仁 、 林辰唏 、 李銘忠 、 李佳穎 、 許莉婷
2023年,11月20日,台視,173, 追分成功,柯叔元 、 方馨 、 蕭景鴻 、 米可白 、 陳慕義 、 何宜珊 、 陳文山 、 茵芙 、 林在培 、 林乃華 、 馬國賢 、 陳瓊美 、 潘逸安 、 赫容 、 孫綻 、 謝麗金 、 亮曦 、 宋品葳 、 呂世偉 、 宋依璇 、 李銘叡 、 蔡湘宜 、 詹博丞 、 黃子柔 、 璽皓 、 許玥晨 、 王韋婷 、 林玉書
2023年,11月24日,KKTV,10, 保留席位 ,黃丞邦 、 陳玹宇 、 鄭湋曄 、 黃宏軒 、 張哲偉 、 王新凱 、 崔佩儀
2023年,11月26日,東森戲劇台 公視+,16, 生命捕手,王識賢 、 陳嘉樺 、 柯叔元 、 李維維 、 江祖平 、 潘君侖 、 邱偲琹 、 梁以辰 、 陳天仁 、 謝沛恩 、 王傳一 、 苗可麗 、 周群達 、 郭方儒 、 許傑輝
2023年,12月8日,中華電信MOD Hami Video,5, 深網 ,溫昇豪 、 陳雪甄 、 李京恬 、 宏榮 、 林暉閔 、 邵奕玫 、 容啟航 、 黃琦雯 、 陳昱志 、 陳佳瀅
2024年,1月17日,華視主頻 公視台語台,10, 少女八家將 ,龍劭華 、 陳瓊美 、 林韋君 、 張勛傑 、 楊子儀 、 許鈞鈞 、 吳東諺 、 林映彤 、 王丁築 、 林宜禾 、 孫綻
2024年,1月17日 1月21日,CATCHPLAY+ 愛奇藝 八大戲劇台,8, 茁劇場－非殺人小說 ,劉冠廷 、 王淨 、 隋棠 、 劉亮佐 、 方郁婷 、 黃耀冬 、 張詩盈 、 柯叔元 、 曾珮瑜 、 張書豪
2024年,1月20日,大愛電視台,6, 打怪任務 ,胡宇威 、 黃瀞怡 、 魏蔓 、 溫昇豪 、 梁正群 、 葛蕾 、 陳孝萱 、 林子熙 、 李杏 、 陳婉婷 、 陳璇
2024年,2月2日,Netflix,8, 愛愛內含光 ,柯震東 、 詹子萱 、 苗可麗 、 洪都拉斯 、 馬志翔 、 夏于喬 、 林哲熹 、 巫建和 、 鳳小岳
2024年,2月2日 2月4日,KKTV 三立都會台,10 12, 恆久定律,吳秉宸 、 黃禮豐 、 周詠軒 、 陳子玄 、 王盈堯 、 鄭家宜
2024年,2月10日,HBO GO,13, 何百芮的地獄毒白 ,郭書瑤 、 孫可芳 、 鍾瑶 、 阿Ken 、 張睿家 、 姚淳耀 、 姚以緹 、 詹懷雲
2024年,2月17日 2月23日,民視 三立台灣台,7, 商魂 ,傅孟柏 、 邵雨薇 、 市原隼人 、 李國毅 、 田中千繪 、 周曉涵 、 喜翔 、 朱德剛 、 徐鈞浩 、 林在培
2024年,2月18日 2月24日,華視 LINE TV 八大戲劇台 台視主頻,10, 華麗計程車行,曹佑寧 、 黃冠智 、 郭子乾 、 楊麗音 、 伊正 、 李李仁 、 程予希 、 何思靜 、 林嘉俐 、 黃舒湄 、 王滿嬌 、 孫綻 、 童毅軍 、 紀欣伶 、 阮安妮 、 游安順 、 應采靈 、 張菁菁
2024年,2月24日,優酷視頻 YouTube,12, 關於未知的我們 ,邱宇辰 、 黃宏軒 、 楊子儀 、 張楷奕 、 梁正群 、 金在勲 、 林昀希 、 朱宥丞
2024年,2月25日,東森戲劇台 公視+,14, 生命捕手2 ,王識賢 、 陳嘉樺 、 柯叔元 、 李維維 、 江祖平 、 潘君侖 、 邱偲琹 、 梁以辰 、 陳天仁 、 謝沛恩 、 王傳一 、 苗可麗 、 周群達 、 郭方儒 、 許傑輝
2024年,3月3日,公視台語台,8, 鹽水大飯店 ,張耀仁 、 吳子霏 、 洪毓璟 、 蔡昌憲 、 喬湲媛 、 黃迪揚 、 梁湘華 、 方文琳 、 謝銘祐 、 江宏恩 、 黃鐙輝 、 許莉廷
2024年,3月24日,TVBS歡樂台,5, 味盡緣 ,莫允雯 、 鄭人碩 、 李博翔 、 芳榕 （ 英語 ： Fang Rong (actress) ） 、 胡佳嬑 （ 英語 ： Hayley Woo ） 、 劉謙益
2024年,4月1日,客家電視台,10, 女孩上場2,安心亞 、 羅宏正 、 楊麗音 、 夏靖庭 、 黃騰浩 、 楊晴 、 蔡佳芸 、 陳采宣 、 丁景琦 、 張筠晨 、 黃湘茹 、 陳妤 、 陳映蓉 、 吳岱穎 、 張以琳 、 曾榆湫
2024年,4月6日 4月7日,公視 八大戲劇台,8, 不夠善良的我們 ,賀軍翔 、 林依晨 、 許瑋甯 、 柯震東
2024年,4月7日,TVBS歡樂台,2, 遊戲開始 ,胡宇威 、 周曉涵 、 盧以恩 、 張豐豪 、 喬湲媛 、 劉晉瑋 、 汪奇威 、 陳映如 、 黃丞邦 、 周詠軒 、 陳彥佐
2024年,4月8日,YouTube,63, 小菁與言言,林子熙 、 林意箴 、 林貫易 、 劉黛瑩 、 葉曉霏 、 徐韜 、 江常輝 、 鎮萬鈞 、 鄭湋曄 、 陳婉婷 、 河村一樹
2024年,4月12日,三立都會台,5, 省省吧！我家富貴發 ,郭子乾 、 曾莞婷 、 余晉 、 胡智強 、 陳昭妃 、 方志友 、 古斌 、 盧以恩 、 夏朧 、 伊正 、 小亮哥 、 林姿佑
2024年,4月14日,TVBS歡樂台,24, 完全省錢戀愛手冊,郭書瑤 、 林子閎 、 周智慧 、 鄧偉德 、 胡煜詩 （ 英語 ： Jernelle Oh ） 、 林鶴軒 、 黃柏峰 、 陳語安 、 林莎
2024年,4月15日,大愛電視台,12, 你準備萌芽了嗎？ ,柯淑勤 、 朱芷瑩 、 張瓊姿 、 黃采儀 、 馬力歐 、 夏靖庭 、 陳德烈 、 劉曉憶 、 應朗豐 、 胡利 、 黃錦雯 、 廖梨伶 、 溫吉興 、 許乃涵 、 薛提縈 、 蔡瑞澤 、 林輝瑝 、 沈昶宏 、 朱宥丞 、 謝欣諭 、 王宥謙
2024年,4月21日,華視 公視台語台,10, 勇氣家族 ,莊凱勛 、 陳亞蘭 、 檢場 、 林雨宣 、 陳婉婷 、 羅裕誴 、 茵聲
2024年,4月28日,原住民族電視台,1, Mapolong的滋味 ,楊晴 、 李宣榕 、 牛新民 、 胡逸哲 、 林照玉
2024年,4月30日,公視+,6, 就算一個人也可以好好的吃飯,胡宇威 、 李玲葦 、 姚以緹 、 廖苡喬
2024年,5月4日 5月5日 5月10日,公視 東森戲劇台 中天娛樂台,30, 我的婆婆怎麼那麼可愛2 ,鍾欣凌 、 黃姵嘉 、 張書偉 、 洪都拉斯 、 許孟哲 、 邱凱偉 、 王少偉 、 楊銘威 、 蘇晏霈 、 林筳諭 、 龍語申 、 張可昀 、 喬湲媛 、 謝毅宏 、 陳建凱 、 林東緒 、 丁也恬
2024年,5月31日 6月1日 6月2日,中視主頻 三立都會台 CATCHPLAY電影台,14, 幸福房屋事件簿 ,陳庭妮 、 蔡凡熙 、 莊凱勛 、 李國毅 、 林暉閔 、 丁春誠 、 陳竹昇 、 林鶴軒 、 王靜瑩 、 姚黛瑋 、 蔡燦得 、 張詩盈 、 王月
2024年,6月21日,Netflix,8, 誰是被害者2,張孝全 、 許瑋甯 、 李沐 、 王識賢 、 蘇慧倫 、 張再興 、 藤岡靛 、 劉俊謙 、 陳姸霏 、 劉子銓 、 喜翔
2024年,6月23日,華視 公視台語台,8, 我的意外室友 ,嚴正嵐 、 姚淳耀 、 楊麗音 、 楊烈 、 李冠毅 、 百白 、 陳立庭 、 張寗 、 蔡昌憲 、 陳孝萱 、 馬力歐
2024年,6月28日,Hami Video 中華電信MOD Netflix,10, 塑膠花 ,李沐 、 吳慷仁 、 張寗 、 高捷 、 陽靚 、 林鶴軒
2024年,7月12日,CATCHPLAY+,34, 都市懼集,許瑋甯 、 林柏宏 、 唐綺陽 、 邵雨薇 、 傅孟柏 、 曾博恩 、 劉品言 、 曾沛慈 、 黃河 、 黃姵嘉 、 曾愷玹 、 曾莞婷 、 陳妤 、 吳思賢 、 楊銘威 、 游安順 、 謝麗金 、 姚元浩 、 周采詩 、 李沐 、 項婕如 、 王渝萱 、 百白 、 章廣辰 、 徐鈞浩 、 江宜蓉 、 高英軒 、 喬瑟夫 、 林敬倫 、 何思靜 、 胡釋安 、 黃冠智 、 黃珮琪 、 廖允傑 、 蛇丸 、 胡椒 、 初孟軒 、 詹懷雲 、 顏毓麟 、 曾少宗 、 雷嘉汭 、 李雪 、 盧以恩 、 余佩真 、 張琴 、 林志儒 、 晏柔中 、 黃湘婷 、 管麟 、 高倩怡 、 黃大旺 、 林意箴 、 竺定誼 、 李劭婕 、 邵奕玫 、 許莉廷 、 謝章穎 、 黃聖球 、 王真琳 、 林思廷 、 許乃涵 、 饒星星 、 傅顯皓 、 吳言凜 、 樓一安 、 姚吉慧 、 陳映如 、 賀少俠 、 潘嘉麗 、 劉黛瑩 、 林葦妮 、 虹茜 、 林詩雅 、 高詩婷 、 洪文凱 、 陳慕帆 、 許博硯 、 韓亞熙 、 簡建安 、 吳俊希
2024年,8月8日,大愛電視台,23, 你好，我是誰2 ,寇世勳 、 崔佩儀 、 柯素雲 、 胡利 、 何豪傑 、 傅小芸 、 林玟誼 、 田家達 、 寇家瑞 、 朱芷瑩 、 謝瓊煖 、 洪小鈴 、 尹昭德 、 江祖平 、 李運慶 、 班鐵翔 、 劉曉憶 、 慕鈺華 、 談學斌 、 梁湘華 、 王為 、 葉文豪
2024年,8月11日,華視 公視台語台,8, 無罪推定 ,莊凱勛 、 蔡黃汝 、 楊小黎 、 鍾承翰 、 黃鐙輝 、 呂雪鳳 、 楊烈 、 鄭平君 、 李運慶 、 王嫚萱 、 焦曼婷 、 胡恩寧 、 洪毓璟 、 李飛 、 方大緯 、 林鴻翔 、 黃建豪
2024年,8月12日,GagaOOLala friDay影音,12, 彈一場完美戀愛 ,涂善存 、 張豐豪 、 劉泯庭 、 Jame Kasama 、 Kranjanawattana 、 李英宏 、 李佳歡 、 金泰佑 、 劉紀範 、 陳少卉
2024年,8月16日,三立都會台 LINE TV MyVideo YouTube,8, Q18量子預言 ,李銘順 、 天心 、 吳庚霖 、 石知田 、 金士傑 、 李璇 、 李千娜 、 趙逸嵐 、 劉修甫 、 盧以恩
2024年,8月17日,公視,5, 聽海湧 ,吳翰林 、 黃冠智 、 朱宥丞 、 連俞涵 、 施名帥 、 周厚安 、 Runa 、 岡本孝 、 塚原大助 、 松大航也 、 松野高志 、 馬場克樹 、 辻伊吹 、 葛西健二
2024年,8月22日,Netflix,6, 正港分局 ,許光漢 、 王淨 、 馬念先 、 陳彥佐
2024年,8月22日,Netflix GagaOOLala,12, 某某 ,曾向鎮 、 劉冬沁 、 古斌 、 顏毓麟 、 陸婷玉 、 段鈞豪 、 洪小鈴 、 姚愛寗 、 陳彥廷 、 陳為民 、 李至正 、 蔡振廷 、 鍾岳軒 、 邵奕玫 、 鄭湋曄 、 黃丞邦
2024年,8月30日,CATCHPLAY+ 愛奇藝,8, 讓我看見你是誰 ,雷嘉汭 、 詹懷雲 、 黃信赫 、 鄭宇恩 、 金東昱 、 屈中恆 、 阮氏翠恆 、 劉晉瑋 、 陳語杉 、 初孟軒 、 黑嘉嘉 、 陸明君 、 阿Ken 、 宏都拉斯 、 莫愛芳 、 黃尚禾
2024年,9月1日,八大戲劇台 MyVideo,12, 今夜一起為愛鼓掌 ,楊謹華 、 陳嘉樺 、 楊祐寧 、 王柏傑
2024年,9月2日,KKTV,18, K-DOL愛心增加學院 ,Gorn Wannapairote 、 許紫柔  、 汪東城 、 梁瀚名 、 粼粼 、 蔡佳彤 、 于常祐 、 夏菈 、 劉浩文 、 柯棨棋 、 洪仕晟
2024年,9月7日,八大戲劇台 Hami Video,20, 妳是我的姐妹 ,温貞菱 、 李霈瑜 、 張軒睿 、 徐鈞浩 、 林哲熹 、 林思宇 、 林美秀 、 陳竹昇
2024年,9月7日 9月8日,公視 八大戲劇台,9, 人生清理員 ,金士傑 、 鳳小岳 、 宋芸樺 、 蔡嘉茵 、 黃冠智 、 陸弈靜 、 許莉廷 、 鄭有傑 、 陳婉婷 、 夏騰宏 、 葉子綺
2024年,9月29日,華視 公視台語台,8, 孔雀魚 ,尹馨 、 安心亞 、 藍葦華 、 莊凱勛 、 張再興 、 蔡明修 、 亮哲 、 美麗本人 、 黃漢青
2024年,10月3日,大愛電視台,20, 在光裏的人,王傳一 、 翁家明 、 陳明珠 、 唐從聖 、 廖曉彤 、 張晏塵 、 邱子芯 、 錦雯 、 鍾政均 、 游小白 、 蔡天嘉
2024年,10月6日,東森戲劇台 MyVideo,22, X！又是星期一 ,林奕嵐 、 范少勳 、 曾莞婷 、 馬力歐 、 溫昇豪 、 趙自強 、 李李仁 、 謝毅宏 、 洪群鈞 、 詹子晴
2024年,10月23日,KKTV,13, 看見愛 ,金雲 、 林宇 、 林家佑 、 林詠傑 、 李悠 、 艾雨帆
2024年,11月2日,愛奇藝 八大戲劇台,10, 太太太厲害,曾沛慈 、 隋棠 、 周采詩 、 黃奇斌 、 楊祐寧 、 王陽明 、 林品彤 、 江格宇 、 唐宸禹 、 楊鈞訸 、 鄭楠鐘 、 禾浩辰 、 胡宇威 、 張永正 、 蕭東意 、 夏朧
2024年,11月4日,東森超視 華視,60, 阿榮與阿玉 ,柯叔元 、 韓瑜 、 林玟誼 、 張睿家 、 黃西田 、 王淑娟 、 伊正 、 鄭仲茵 、 小亮哥 、 民雄 、 謝其文 、 李亮瑾 、 吳心緹 、 張再興 、 劉紀範 、 黃新皓 、 柏妍樺 、 張絡扉
2024年,11月7日,Hami Video MyVideo friDay影音,10, 妮波自由式 ,莊凱勛 、 林思宇 、 陸夏 、 張書豪
2024年,11月7日,Netflix,12, 影后,楊謹華 、 謝盈萱 、 薛仕凌 、 陳庭妮 、 謝瓊煖 、 楊貴媚 、 鍾欣凌 、 曾莞婷 、 林廷憶 、 黃迪揚 、 詹懷雲 、 劉冠廷 、 黃仲崑 、 樓一安 、 陳家逵 、 牧森 、 陳彥嘉
2024年,11月17日,東森戲劇台 LINE TV,13, 不愛，愛 ,張軒睿 、 韓寧 、 陳語安 、 初孟軒 、 曾向鎮 、 伊正 、 倪安東 、 陳孝萱 、 包小松
2024年,12月8日,TVBS歡樂台 LINE TV,24, 秘書俱樂部,賴雅妍 、 王傳一 、 修杰楷 、 曾莞婷 、 張軒睿 、 黃尚禾 、 楊晴 、 管麟 、 樊光耀 、 林嘉俐 、 許時豪 、 鄭芯恩 、 葉子綺 、 林牧昕 、 孔令元 、 王上菲 、 鄭豐毅 、 曾子余 、 張哲偉
2024年,12月14日,AXN Hami Video,18, 不如海邊吹吹風,陳柏霖 、 郭雪芙 、 林柏叡 、 范文芳 、 洪慧芳 、 庹宗華 、 鄭家榆 、 馬念先 、 李之勤 、 蔡思韻 、 吳子霏 、 楊子儀 、 莊茜佳 、 王晴 、 元康 、 林映彤 、 簡劭峰
2024年,12月22日,三立都會台,12, 全面管控 ,張哲偉 、 陳峻廷 、 洪言翔 、 羅章恩
2024年,12月23日,大愛電視台,12, 血·拾人生 ,宋偉恩 、 魏蔓 、 黃薇渟 、 張睿家 、 林思廷 、 庹宗華 、 陳婉婷 、 王滿嬌 、 安俊朋 、 何思靜 、 張菁菁 、 黃冠智 、 李國強 、 邱凱偉 、 李維維
